Time,Date,Temperature,Humidity,TDS Value,pH Level
16:04,10/18/2023,33.0,58.0,153.44,7.4
16:09,10/18/2023,33.0,56.0,150.46,7.46
16:14,10/18/2023,33.0,56.0,143.0,7.46
16:19,10/18/2023,33.0,56.0,120.32,7.46
16:24,10/18/2023,32.0,57.0,114.63,7.45
16:29,10/18/2023,32.0,58.0,134.8,7.45
16:34,10/18/2023,32.0,59.0,133.26,7.45
16:39,10/18/2023,32.0,61.0,114.63,7.44
16:44,10/18/2023,32.0,59.0,116.2,7.45
16:49,10/18/2023,32.0,58.0,116.2,7.43
16:54,10/18/2023,32.0,59.0,136.33,7.45
16:59,10/18/2023,32.0,59.0,130.18,7.44
17:04,10/18/2023,31.0,59.0,130.93,7.44
17:09,10/18/2023,31.0,60.0,127.78,7.45
17:14,10/18/2023,31.0,61.0,126.2,7.45
17:19,10/18/2023,31.0,58.0,107.06,7.43
17:24,10/18/2023,30.0,62.0,128.49,7.44
17:29,10/18/2023,30.0,59.0,113.92,7.44
17:34,10/18/2023,30.0,60.0,130.1,7.43
17:39,10/18/2023,30.0,63.0,131.71,7.41
17:44,10/18/2023,30.0,64.0,133.31,7.41
17:49,10/18/2023,30.0,65.0,136.51,7.41
17:54,10/18/2023,30.0,67.0,134.91,7.41
17:59,10/18/2023,30.0,68.0,112.28,7.41
18:04,10/18/2023,30.0,69.0,130.1,7.4
18:09,10/18/2023,29.0,70.0,132.51,7.42
18:14,10/18/2023,29.0,68.0,132.51,7.4
18:19,10/18/2023,29.0,72.0,134.15,7.39
18:24,10/18/2023,29.0,74.0,134.15,7.38
18:29,10/18/2023,29.0,75.0,135.78,7.35
18:34,10/18/2023,29.0,77.0,135.78,7.33
18:39,10/18/2023,29.0,81.0,135.78,7.31
18:44,10/18/2023,29.0,81.0,137.41,7.3
18:49,10/18/2023,29.0,82.0,137.41,7.29
18:54,10/18/2023,29.0,83.0,134.15,7.26
18:59,10/18/2023,29.0,83.0,134.15,7.26
19:04,10/18/2023,29.0,83.0,117.69,7.25
19:09,10/18/2023,29.0,84.0,137.41,7.26
19:14,10/18/2023,29.0,85.0,135.78,7.24
19:19,10/18/2023,29.0,85.0,135.78,7.24
19:24,10/18/2023,29.0,86.0,122.65,7.23
19:29,10/18/2023,29.0,86.0,125.95,7.22
19:34,10/18/2023,29.0,87.0,142.28,7.2
19:39,10/18/2023,28.0,86.0,148.27,7.18
19:44,10/18/2023,28.0,86.0,148.27,7.2
19:49,10/18/2023,28.0,86.0,149.92,7.19
19:54,10/18/2023,28.0,86.0,144.97,7.18
19:59,10/18/2023,28.0,86.0,146.62,7.18
20:04,10/18/2023,28.0,87.0,144.97,7.17
20:09,10/18/2023,28.0,86.0,148.27,7.17
20:14,10/18/2023,28.0,87.0,146.62,7.19
20:19,10/18/2023,28.0,87.0,146.62,7.17
20:24,10/18/2023,28.0,87.0,156.49,7.16
20:29,10/18/2023,28.0,87.0,143.32,7.14
20:34,10/18/2023,28.0,88.0,140.0,7.15
20:39,10/18/2023,28.0,88.0,154.85,7.11
20:44,10/18/2023,28.0,89.0,159.76,7.04
20:49,10/18/2023,28.0,90.0,136.68,7.07
20:54,10/18/2023,28.0,90.0,156.49,7.06
20:59,10/18/2023,28.0,90.0,156.49,7.04
21:04,10/18/2023,28.0,91.0,156.49,7.05
21:09,10/18/2023,28.0,91.0,158.13,7.03
21:14,10/18/2023,28.0,90.0,158.13,6.99
21:19,10/18/2023,28.0,92.0,164.66,6.93
21:24,10/18/2023,27.0,93.0,149.44,6.94
21:29,10/18/2023,27.0,93.0,172.8,6.89
21:34,10/18/2023,27.0,93.0,174.46,6.91
21:39,10/18/2023,27.0,93.0,174.46,6.91
21:44,10/18/2023,27.0,94.0,177.76,6.87
21:49,10/18/2023,27.0,94.0,152.8,6.88
21:54,10/18/2023,27.0,93.0,172.8,6.89
21:59,10/18/2023,27.0,94.0,154.48,6.89
22:04,10/18/2023,27.0,94.0,156.15,6.86
22:09,10/18/2023,27.0,94.0,157.83,6.82
22:14,10/18/2023,27.0,94.0,164.5,6.87
22:19,10/18/2023,27.0,94.0,187.65,6.87
22:24,10/18/2023,27.0,94.0,189.29,6.85
22:29,10/18/2023,27.0,94.0,190.93,6.85
22:34,10/18/2023,27.0,95.0,197.49,6.86
22:39,10/18/2023,27.0,95.0,181.06,6.9
22:44,10/18/2023,27.0,94.0,190.93,6.89
22:49,10/18/2023,27.0,95.0,192.57,6.88
22:54,10/18/2023,27.0,94.0,174.46,6.88
22:59,10/18/2023,27.0,94.0,195.85,6.88
23:04,10/18/2023,27.0,94.0,197.49,6.9
23:09,10/18/2023,27.0,95.0,179.41,6.91
23:14,10/18/2023,27.0,95.0,194.21,6.92
23:19,10/18/2023,27.0,95.0,215.46,6.93
23:24,10/18/2023,27.0,95.0,197.49,6.94
23:29,10/18/2023,27.0,95.0,199.13,6.96
23:34,10/18/2023,27.0,95.0,202.4,6.94
23:39,10/18/2023,27.0,95.0,204.03,6.93
23:44,10/18/2023,27.0,95.0,212.2,6.93
23:49,10/18/2023,27.0,95.0,195.85,6.93
23:54,10/18/2023,27.0,95.0,217.09,6.95
23:59,10/18/2023,27.0,95.0,217.09,6.94
0:04,10/19/2023,27.0,95.0,217.09,6.97
0:09,10/19/2023,27.0,95.0,220.35,6.98
0:14,10/19/2023,27.0,95.0,235.01,6.97
0:19,10/19/2023,26.0,95.0,241.28,6.99
0:24,10/19/2023,26.0,95.0,242.94,6.98
0:29,10/19/2023,26.0,95.0,244.6,6.98
0:34,10/19/2023,27.0,95.0,243.16,6.97
0:39,10/19/2023,26.0,95.0,249.59,6.97
0:44,10/19/2023,26.0,95.0,239.62,6.98
0:49,10/19/2023,26.0,95.0,219.69,6.98
0:54,10/19/2023,26.0,95.0,241.28,6.99
0:59,10/19/2023,26.0,95.0,224.67,6.99
1:04,10/19/2023,26.0,95.0,229.66,7.02
1:09,10/19/2023,26.0,95.0,257.91,7.0
1:15,10/19/2023,26.0,95.0,261.24,7.02
1:20,10/19/2023,26.0,95.0,262.91,7.0
1:25,10/19/2023,26.0,95.0,264.58,7.02
1:30,10/19/2023,26.0,95.0,266.24,7.01
1:35,10/19/2023,26.0,95.0,252.92,7.03
1:40,10/19/2023,26.0,95.0,254.58,7.02
1:45,10/19/2023,26.0,95.0,241.28,7.01
1:50,10/19/2023,26.0,95.0,256.24,7.03
1:55,10/19/2023,26.0,95.0,236.3,7.04
2:00,10/19/2023,26.0,95.0,259.57,7.04
2:05,10/19/2023,26.0,95.0,259.57,7.03
2:10,10/19/2023,26.0,95.0,276.28,7.04
2:15,10/19/2023,26.0,95.0,277.95,7.03
2:20,10/19/2023,26.0,95.0,279.63,7.03
2:25,10/19/2023,26.0,95.0,282.99,7.05
2:45,10/19/2023,26.0,95.0,271.26,7.07
2:50,10/19/2023,26.0,95.0,271.26,7.07
2:55,10/19/2023,26.0,95.0,272.93,7.06
3:00,10/19/2023,26.0,95.0,276.28,7.04
3:05,10/19/2023,26.0,95.0,291.4,7.07
3:10,10/19/2023,26.0,95.0,276.28,7.08
3:15,10/19/2023,26.0,95.0,276.28,7.09
3:20,10/19/2023,26.0,95.0,276.28,7.09
3:25,10/19/2023,26.0,95.0,277.95,7.1
3:30,10/19/2023,26.0,95.0,298.17,7.1
3:35,10/19/2023,26.0,95.0,286.35,7.12
3:40,10/19/2023,26.0,95.0,269.58,7.12
3:45,10/19/2023,26.0,95.0,286.35,7.15
3:50,10/19/2023,26.0,95.0,288.03,7.18
3:55,10/19/2023,26.0,95.0,289.72,7.18
4:00,10/19/2023,26.0,95.0,281.31,7.18
4:05,10/19/2023,26.0,95.0,296.47,7.24
4:10,10/19/2023,26.0,95.0,303.26,7.23
4:15,10/19/2023,26.0,95.0,303.26,7.24
4:20,10/19/2023,26.0,95.0,293.09,7.29
4:25,10/19/2023,26.0,95.0,306.66,7.26
4:30,10/19/2023,26.0,95.0,304.96,7.24
4:35,10/19/2023,26.0,95.0,272.93,7.29
4:40,10/19/2023,26.0,95.0,289.72,7.28
4:45,10/19/2023,26.0,95.0,271.26,7.3
4:50,10/19/2023,26.0,95.0,276.28,7.27
4:55,10/19/2023,26.0,95.0,293.09,7.32
5:00,10/19/2023,25.0,95.0,297.23,7.31
5:05,10/19/2023,25.0,95.0,314.53,7.32
5:10,10/19/2023,25.0,95.0,300.68,7.34
5:15,10/19/2023,25.0,95.0,319.76,7.35
5:20,10/19/2023,25.0,95.0,298.95,7.35
5:25,10/19/2023,26.0,95.0,301.56,7.34
5:30,10/19/2023,26.0,95.0,301.56,7.35
5:35,10/19/2023,25.0,95.0,292.08,7.35
5:40,10/19/2023,25.0,95.0,307.59,7.38
5:45,10/19/2023,25.0,95.0,309.32,7.37
5:50,10/19/2023,25.0,95.0,292.08,7.37
5:55,10/19/2023,25.0,95.0,300.68,7.37
6:00,10/19/2023,26.0,95.0,323.79,7.36
6:05,10/19/2023,26.0,95.0,310.07,7.31
6:10,10/19/2023,26.0,95.0,325.52,7.28
6:15,10/19/2023,26.0,95.0,327.25,7.28
6:20,10/19/2023,26.0,95.0,327.25,7.28
6:25,10/19/2023,26.0,95.0,327.25,7.3
6:30,10/19/2023,26.0,95.0,310.07,7.23
6:35,10/19/2023,26.0,95.0,311.78,7.23
6:40,10/19/2023,27.0,95.0,312.5,7.22
6:45,10/19/2023,27.0,95.0,309.14,7.2
6:50,10/19/2023,27.0,95.0,292.43,7.18
6:55,10/19/2023,27.0,93.0,310.82,7.21
7:00,10/19/2023,27.0,93.0,315.88,7.18
7:05,10/19/2023,27.0,92.0,327.76,7.19
7:10,10/19/2023,27.0,92.0,309.14,7.18
7:15,10/19/2023,27.0,92.0,326.06,7.19
7:20,10/19/2023,27.0,90.0,329.47,7.17
7:25,10/19/2023,28.0,90.0,304.95,7.17
7:30,10/19/2023,28.0,89.0,306.61,7.18
7:35,10/19/2023,28.0,88.0,303.3,7.17
7:40,10/19/2023,28.0,86.0,308.26,7.16
7:45,10/19/2023,29.0,84.0,299.31,7.16
7:50,10/19/2023,30.0,78.0,297.05,7.21
7:55,10/19/2023,31.0,74.0,305.94,7.23
8:00,10/19/2023,30.0,78.0,313.12,7.24
8:05,10/19/2023,29.0,78.0,318.92,7.2
8:10,10/19/2023,30.0,77.0,311.5,7.24
8:15,10/19/2023,30.0,76.0,314.74,7.27
8:20,10/19/2023,32.0,70.0,302.13,7.28
8:25,10/19/2023,33.0,63.0,281.69,7.28
8:30,10/19/2023,34.0,62.0,276.91,7.27
8:35,10/19/2023,34.0,60.0,265.08,7.3
8:40,10/19/2023,35.0,57.0,276.69,7.31
8:45,10/19/2023,35.0,57.0,263.56,7.33
8:50,10/19/2023,35.0,59.0,267.92,7.31
8:55,10/19/2023,35.0,59.0,295.97,7.31
9:00,10/19/2023,36.0,57.0,289.65,7.32
9:05,10/19/2023,33.0,66.0,304.63,7.32
9:10,10/19/2023,35.0,57.0,294.48,7.33
9:15,10/19/2023,36.0,57.0,289.65,7.33
9:20,10/19/2023,33.0,64.0,306.18,7.31
9:25,10/19/2023,32.0,66.0,300.57,7.32
9:30,10/19/2023,34.0,63.0,290.38,7.33
9:35,10/19/2023,36.0,55.0,279.41,7.34
9:40,10/19/2023,36.0,57.0,282.32,7.33
9:45,10/19/2023,36.0,57.0,282.32,7.34
9:50,10/19/2023,36.0,53.0,288.18,7.33
9:55,10/19/2023,37.0,54.0,292.25,7.35
10:00,10/19/2023,37.0,54.0,290.79,7.35
10:05,10/19/2023,37.0,52.0,289.33,7.32
10:10,10/19/2023,37.0,52.0,289.33,7.32
10:15,10/19/2023,38.0,50.0,286.17,7.33
10:20,10/19/2023,38.0,49.0,274.77,7.32
10:25,10/19/2023,38.0,50.0,274.77,7.32
10:30,10/19/2023,38.0,47.0,262.12,7.31
10:35,10/19/2023,38.0,48.0,279.03,7.31
10:40,10/19/2023,38.0,47.0,264.92,7.31
10:45,10/19/2023,39.0,49.0,274.67,7.3
10:50,10/19/2023,38.0,49.0,289.05,7.31
10:55,10/19/2023,38.0,48.0,291.94,7.31
11:00,10/19/2023,38.0,49.0,279.03,7.31
11:05,10/19/2023,39.0,47.0,274.67,7.3
11:10,10/19/2023,37.0,49.0,295.18,7.32
11:15,10/19/2023,38.0,49.0,287.61,7.31
11:20,10/19/2023,38.0,47.0,280.45,7.32
11:25,10/19/2023,37.0,48.0,284.98,7.31
11:30,10/19/2023,38.0,47.0,281.88,7.31
11:35,10/19/2023,38.0,47.0,286.17,7.29
11:41,10/19/2023,37.0,48.0,287.88,7.31
11:46,10/19/2023,38.0,47.0,284.74,7.28
11:51,10/19/2023,38.0,47.0,296.29,7.31
11:56,10/19/2023,37.0,47.0,301.06,7.3
12:01,10/19/2023,37.0,48.0,290.79,7.3
12:06,10/19/2023,38.0,48.0,293.38,7.31
12:11,10/19/2023,37.0,47.0,299.59,7.31
12:16,10/19/2023,37.0,48.0,287.88,7.3
12:21,10/19/2023,37.0,48.0,289.33,7.3
12:26,10/19/2023,37.0,49.0,284.98,7.3
12:31,10/19/2023,37.0,48.0,283.53,7.31
12:36,10/19/2023,37.0,49.0,292.25,7.3
12:41,10/19/2023,37.0,49.0,274.9,7.29
12:46,10/19/2023,37.0,49.0,292.25,7.3
12:51,10/19/2023,37.0,48.0,304.03,7.31
12:56,10/19/2023,37.0,47.0,293.71,7.3
13:01,10/19/2023,36.0,48.0,294.08,7.3
13:06,10/19/2023,37.0,48.0,298.12,7.3
13:11,10/19/2023,36.0,50.0,304.5,7.3
13:16,10/19/2023,36.0,50.0,294.08,7.3
13:21,10/19/2023,36.0,50.0,292.6,7.29
13:26,10/19/2023,35.0,51.0,295.97,7.28
13:31,10/19/2023,35.0,52.0,298.98,7.3
13:36,10/19/2023,36.0,52.0,292.6,7.3
13:41,10/19/2023,35.0,50.0,300.48,7.3
13:46,10/19/2023,35.0,51.0,301.99,7.29
13:51,10/19/2023,35.0,51.0,300.48,7.28
13:56,10/19/2023,35.0,51.0,312.63,7.31
14:01,10/19/2023,35.0,50.0,312.63,7.3
14:06,10/19/2023,35.0,52.0,306.53,7.3
14:11,10/19/2023,35.0,51.0,317.23,7.29
14:16,10/19/2023,35.0,52.0,303.5,7.29
14:21,10/19/2023,35.0,53.0,284.06,7.28
14:26,10/19/2023,35.0,54.0,300.48,7.3
14:31,10/19/2023,35.0,54.0,298.98,7.28
14:36,10/19/2023,35.0,50.0,312.63,7.3
14:41,10/19/2023,35.0,52.0,306.53,7.3
14:46,10/19/2023,35.0,51.0,317.23,7.29
14:51,10/19/2023,35.0,51.0,317.23,7.29
14:56,10/19/2023,35.0,54.0,300.48,7.3
15:01,10/19/2023,30.0,74.0,495.01,7.12
15:06,10/19/2023,30.0,74.0,501.31,7.12
15:11,10/19/2023,30.0,74.0,507.68,7.11
15:16,10/19/2023,35.0,52.0,306.53,7.3
15:21,10/19/2023,35.0,51.0,317.23,7.29
15:24,10/19/2023,34.0,60.0,409.26,7.13
15:29,10/19/2023,33.0,60.0,427.31,7.23
15:34,10/19/2023,33.0,61.0,427.31,7.23
15:39,10/19/2023,33.0,62.0,409.1,7.21
15:44,10/19/2023,33.0,62.0,461.54,7.21
15:49,10/19/2023,33.0,62.0,459.58,7.22
15:54,10/19/2023,33.0,62.0,461.54,7.22
15:59,10/19/2023,33.0,63.0,465.46,7.2
16:04,10/19/2023,33.0,62.0,461.54,7.21
16:09,10/19/2023,33.0,63.0,448.0,7.21
16:14,10/19/2023,33.0,62.0,432.88,7.2
16:19,10/19/2023,32.0,63.0,423.62,7.2
16:24,10/19/2023,32.0,62.0,432.93,7.2
16:29,10/19/2023,32.0,62.0,419.94,7.18
16:34,10/19/2023,32.0,63.0,436.69,7.18
16:39,10/19/2023,32.0,64.0,471.63,7.17
16:44,10/19/2023,32.0,64.0,467.65,7.18
16:49,10/19/2023,32.0,64.0,467.65,7.17
16:54,10/19/2023,32.0,64.0,465.66,7.16
16:59,10/19/2023,32.0,65.0,455.86,7.15
17:04,10/19/2023,32.0,67.0,475.63,7.14
17:09,10/19/2023,32.0,69.0,446.2,7.13
17:14,10/19/2023,31.0,70.0,448.34,7.14
17:19,10/19/2023,31.0,71.0,450.28,7.13
17:24,10/19/2023,31.0,72.0,440.66,7.11
17:29,10/19/2023,31.0,73.0,454.17,7.12
17:34,10/19/2023,31.0,74.0,438.76,7.12
17:39,10/19/2023,30.0,74.0,495.01,7.12
17:44,10/19/2023,30.0,74.0,501.31,7.12
17:49,10/19/2023,30.0,74.0,507.68,7.11
17:54,10/19/2023,30.0,75.0,495.01,7.1
17:59,10/19/2023,30.0,75.0,514.1,7.1
18:04,10/19/2023,30.0,75.0,516.26,7.08
18:09,10/19/2023,30.0,76.0,464.41,7.09
18:14,10/19/2023,30.0,76.0,488.78,7.08
18:19,10/19/2023,30.0,77.0,468.41,7.07
18:24,10/19/2023,30.0,78.0,482.6,7.07
18:29,10/19/2023,30.0,77.0,492.93,7.07
18:34,10/19/2023,29.0,78.0,530.23,7.07
18:39,10/19/2023,29.0,78.0,530.23,7.03
18:44,10/19/2023,29.0,80.0,528.02,7.01
18:49,10/19/2023,29.0,82.0,521.43,7.0
18:54,10/19/2023,29.0,81.0,525.82,7.0
18:59,10/19/2023,29.0,82.0,530.23,7.03
19:04,10/19/2023,29.0,80.0,475.05,7.02
19:09,10/19/2023,29.0,81.0,493.63,7.04
19:14,10/19/2023,29.0,81.0,473.01,7.0
19:19,10/19/2023,29.0,81.0,487.37,7.03
19:24,10/19/2023,29.0,82.0,487.37,6.99
19:29,10/19/2023,29.0,82.0,468.97,6.99
19:34,10/19/2023,29.0,82.0,517.08,6.97
19:39,10/19/2023,29.0,82.0,536.91,6.97
19:44,10/19/2023,29.0,83.0,508.45,6.97
19:49,10/19/2023,29.0,83.0,536.91,6.98
19:54,10/19/2023,29.0,83.0,541.4,6.95
19:59,10/19/2023,29.0,84.0,541.4,6.96
20:04,10/19/2023,29.0,84.0,485.3,6.94
20:09,10/19/2023,29.0,85.0,504.18,6.94
20:14,10/19/2023,29.0,85.0,502.06,6.91
20:19,10/19/2023,29.0,85.0,504.18,6.9
20:24,10/19/2023,29.0,87.0,483.24,6.87
20:29,10/19/2023,29.0,87.0,499.94,6.88
20:34,10/19/2023,29.0,87.0,536.91,6.91
20:39,10/19/2023,29.0,85.0,534.68,6.91
20:44,10/19/2023,29.0,86.0,539.15,6.92
20:49,10/19/2023,29.0,86.0,541.4,6.89
20:54,10/19/2023,29.0,87.0,539.15,6.89
20:59,10/19/2023,29.0,87.0,485.3,6.93
21:04,10/19/2023,29.0,86.0,497.83,6.9
21:09,10/19/2023,29.0,88.0,502.06,6.93
21:14,10/19/2023,29.0,87.0,495.72,6.94
21:19,10/19/2023,29.0,86.0,504.18,6.89
21:24,10/19/2023,29.0,88.0,483.24,6.88
21:29,10/19/2023,28.0,88.0,549.32,6.86
21:34,10/19/2023,28.0,88.0,549.32,6.84
21:39,10/19/2023,28.0,89.0,547.04,6.78
21:44,10/19/2023,28.0,90.0,547.04,6.82
21:49,10/19/2023,28.0,90.0,547.04,6.84
21:54,10/19/2023,28.0,89.0,524.62,6.85
21:59,10/19/2023,28.0,88.0,507.22,6.88
22:04,10/19/2023,28.0,87.0,505.08,6.88
22:09,10/19/2023,28.0,87.0,488.17,6.84
22:14,10/19/2023,28.0,88.0,515.87,6.81
22:19,10/19/2023,28.0,90.0,507.22,6.78
22:24,10/19/2023,28.0,93.0,511.53,6.77
22:29,10/19/2023,28.0,92.0,547.04,6.76
22:34,10/19/2023,28.0,92.0,556.22,6.77
22:39,10/19/2023,28.0,92.0,565.53,6.74
22:44,10/19/2023,28.0,93.0,565.53,6.73
22:49,10/19/2023,28.0,95.0,565.53,6.74
22:54,10/19/2023,28.0,95.0,507.22,6.74
22:59,10/19/2023,28.0,94.0,518.04,6.77
23:04,10/19/2023,27.0,92.0,528.01,6.73
23:09,10/19/2023,28.0,95.0,498.69,6.75
23:14,10/19/2023,28.0,94.0,526.83,6.75
23:19,10/19/2023,28.0,93.0,511.53,6.74
23:24,10/19/2023,28.0,94.0,563.19,6.77
23:29,10/19/2023,28.0,93.0,565.53,6.73
23:34,10/19/2023,28.0,95.0,544.76,6.75
23:39,10/19/2023,28.0,93.0,563.19,6.74
23:44,10/19/2023,28.0,93.0,540.24,6.75
23:49,10/19/2023,28.0,94.0,563.19,6.74
23:54,10/19/2023,28.0,94.0,526.83,6.74
23:59,10/19/2023,28.0,93.0,498.69,6.74
0:04,10/20/2023,27.0,94.0,508.28,6.85
0:09,10/20/2023,27.0,94.0,530.23,6.86
0:14,10/20/2023,27.0,95.0,530.23,6.89
0:19,10/20/2023,27.0,94.0,536.96,6.88
0:24,10/20/2023,27.0,93.0,557.56,6.88
0:29,10/20/2023,27.0,93.0,576.4,6.87
0:34,10/20/2023,27.0,95.0,552.93,6.87
0:39,10/20/2023,27.0,93.0,578.8,6.86
0:44,10/20/2023,27.0,95.0,581.2,6.86
0:49,10/20/2023,27.0,95.0,578.8,6.87
0:54,10/20/2023,27.0,95.0,530.23,6.88
0:59,10/20/2023,27.0,95.0,510.44,6.87
1:04,10/20/2023,27.0,95.0,503.97,6.88
1:09,10/20/2023,27.0,95.0,532.47,6.86
1:14,10/20/2023,27.0,95.0,528.01,6.86
1:19,10/20/2023,27.0,95.0,583.6,6.87
1:24,10/20/2023,27.0,95.0,557.56,6.88
1:29,10/20/2023,27.0,95.0,557.56,6.88
1:35,10/20/2023,27.0,95.0,578.8,6.89
1:40,10/20/2023,27.0,95.0,581.2,6.9
1:45,10/20/2023,27.0,95.0,581.2,6.87
1:50,10/20/2023,27.0,95.0,530.23,6.88
1:55,10/20/2023,27.0,95.0,508.28,6.87
2:00,10/20/2023,27.0,95.0,528.01,6.9
2:05,10/20/2023,27.0,95.0,532.47,6.9
2:10,10/20/2023,27.0,95.0,528.01,6.89
2:15,10/20/2023,27.0,95.0,532.47,6.89
2:20,10/20/2023,27.0,95.0,576.4,6.89
2:25,10/20/2023,26.0,95.0,590.14,6.9
2:30,10/20/2023,27.0,95.0,576.4,6.93
2:35,10/20/2023,26.0,95.0,563.77,6.93
2:40,10/20/2023,26.0,95.0,590.14,6.94
2:45,10/20/2023,27.0,95.0,555.24,6.94
2:50,10/20/2023,26.0,95.0,540.63,6.97
2:55,10/20/2023,26.0,95.0,540.63,6.99
3:00,10/20/2023,26.0,95.0,522.66,6.95
3:05,10/20/2023,26.0,95.0,540.63,6.94
3:10,10/20/2023,26.0,95.0,536.1,6.97
3:15,10/20/2023,26.0,95.0,587.71,6.99
3:20,10/20/2023,26.0,95.0,561.42,7.01
3:25,10/20/2023,26.0,95.0,559.08,6.99
3:30,10/20/2023,26.0,95.0,582.85,7.0
3:35,10/20/2023,26.0,95.0,582.85,6.99
3:40,10/20/2023,26.0,95.0,585.28,7.02
3:45,10/20/2023,26.0,95.0,516.04,7.01
